year_key,community_number_community_name_ar,id,load_timestamp,community_number_community_name_en,population
"null","923-اليلايس 3","434","2024-08-07 14:14:42","923-AL YALAYIS 3","4"
"null","727-الوحوش","286","2024-08-07 14:14:42","727-AL WOHOOSH","46"
"null","672-البرشاء جنوب الثانية","708","2024-08-07 14:14:42","672-AL BARSHA SOUTH SECOND","7239"
"null","618-ند الشبا الأولى","322","2024-08-07 14:14:42","618-NAD AL SHIBBA FIRST","5948"
"null","521-مدينة المطار","411","2024-08-07 14:14:42","521-MADINAT AL MATAAR","2697"
"null","245-محيصنة الرابعة","524","2024-08-07 14:14:42","245-MUHAISANAH FOURTH","35083"
"null","423-الورقاء الثالثة","5","2024-08-07 14:14:42","423-AL WARQAA THIRD","14208"
"null","315-ام هرير الثانية","972","2024-08-07 14:14:42","315-UM HURAIR SECOND","5746"
"null","981-مقطره","447","2024-08-07 14:14:42","981-MUGATRAH","804"
"null","368-القوز الصناعية الثالثة ","818","2024-08-07 14:14:42","368-AL GOZE IND. THIRD ","17306"
"null","392-مرسى دبي (الميناء السياحي) ","905","2024-08-07 14:14:42","392-MARSA DUBAI (AL MINA AL SEYAHI) ","63804"
"null","125-رقة البطين","885","2024-08-07 14:14:42","125-REGA AL BUTEEN","7538"
"null","122-البراحة","371","2024-08-07 14:14:42","122-AL BARAHA","24747"
"null","375-البرشاء الثالثة","311","2024-08-07 14:14:42","375-AL BARSHAA THIRD","14601"
"null","392-مرسى دبي (الميناء السياحي) ","807","2024-08-07 14:14:42","392-MARSA DUBAI (AL MINA AL SEYAHI) ","62570"
"null","664-وادي الصفا 6 (المرابع العربية)","332","2024-08-07 14:14:42","664-WADI AL SAFA 6 (ARABIAN RANCHES)","18213"
"null","431-وادي الشبك ","8","2024-08-07 14:14:42","431-WADI ALSHABAK ","55"
"null","412-الخيران","384","2024-08-07 14:14:42","412-AL KHEERAN","4982"
"null","343-الوصل","350","2024-08-07 14:14:42","343-AL WASL","11555"
"null","599-جبل علي الصناعية الأولى","478","2024-08-07 14:14:42","599-JABAL ALI INDUSTRIAL FIRST","147777"
"null","265-عود المطينة الأولى","227","2024-08-07 14:14:42","265-OUD AL MUTEEN FIRST","14672"
"null","117-المرر","783","2024-08-07 14:14:42","117-AL MURAR","40105"
"null","388-الثنيه الثالثة (تلال الامارات الثانية)","58","2024-08-07 14:14:42","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","17737"
"null","981-مقطره","42","2024-08-07 14:14:42","981-MUGATRAH","804"
"null","128-الخبيصي","176","2024-08-07 14:14:42","128-AL KHBEESI","1952"
"null","685-معيصم الأولى","668","2024-08-07 14:14:42","685-MEAISEM FIRST","18233"
"null","613-رأس الخور الصناعية الثانية","693","2024-08-07 14:14:42","613-RAS AL KHOR IND. SECOND","1833"
"null","512-حصيان الثانية","407","2024-08-07 14:14:42","512-HESSYAN SECOND","45"
"null","112-الرأس","778","2024-08-07 14:14:42","112-AL RASS","8067"
"null","673-البرشاء جنوب الثالثة","659","2024-08-07 14:14:42","673-AL BARSHA SOUTH THIRD","7023"
"null","314-ام هرير الأولى","973","2024-08-07 14:14:42","314-UM HURAIR FIRST","6611"
"null","533-سيح شعيب 4","471","2024-08-07 14:14:42","533-SAIH SHUAIB 4","11170"
"null","366-ام سقيم الثالثة","820","2024-08-07 14:14:42","366-UM SUQAIM THIRD","7777"
"null","243-القصيص الصناعية الثانية","196","2024-08-07 14:14:42","243-AL QUSAIS IND. SECOND","8063"
"null","393-الثنيه الخامسة (تلال الامارات الاولى)","806","2024-08-07 14:14:42","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","40957"
"null","532-سيح شعيب 3","1081","2024-08-07 14:14:42","532-SAIH SHUAIB 3","4684"
"null","214-القرهود","358","2024-08-07 14:14:42","214-AL GARHOUD","18535"
"null","618-ند الشبا الأولى","688","2024-08-07 14:14:42","618-NAD AL SHIBBA FIRST","6589"
"null","359-القوز الرابعة","75","2024-08-07 14:14:42","359-AL GOZE FOURTH","21788"
"null","316-الرفاعة","151","2024-08-07 14:14:42","316-AL RAFFA","42904"
"null","921-اليلايس 1","749","2024-08-07 14:14:42","921-AL YALAYIS 1","1679"
"null","518-جبل علي الصناعية الثانية","467","2024-08-07 14:14:42","518-JABAL ALI INDUSTRIAL SECOND","23000"
"null","231-النهدة الأولى","577","2024-08-07 14:14:42","231-AL NAHDA FIRST","31828"
"null","283-العياص","853","2024-08-07 14:14:42","283-AL AYAS","1843"
"null","134-الممزر","867","2024-08-07 14:14:42","134-AL MAMZER","16534"
"null","388-الثنيه الثالثة (تلال الامارات الثانية)","650","2024-08-07 14:14:42","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","21769"
"null","531-سيح شعيب 2","412","2024-08-07 14:14:42","531-SAIH SHUAIB 2","14491"
"null","861-يراح","760","2024-08-07 14:14:42","861-YARAAH","100"
"null","425- الورقاء الخامسة ","796","2024-08-07 14:14:42","425-AL WARQAA FIFTH ","0"
"null","318-الكرامة","868","2024-08-07 14:14:42","318-AL KARAMA","76591"
"null","915-اليفره 1","582","2024-08-07 14:14:42","915-AL YUFRAH 1","403"
"null","264-محيصنة الثانية ","989","2024-08-07 14:14:42","264-MUHAISANAH SECOND ","150710"
"null","234-القصيص الثالثة","1003","2024-08-07 14:14:42","234-AL QUSAIS THIRD","7685"
"null","376-البرشاء الثانية","813","2024-08-07 14:14:42","376-AL BAESHAA SECOND","16417"
"null","501-نخلة جبل علي","535","2024-08-07 14:14:42","501-NAKHLAT JABAL ALI","5"
"null","216-الراشدية","356","2024-08-07 14:14:42","216-AL RASHIDIYA","37167"
"null","364-القوز الصناعية الأولى ","925","2024-08-07 14:14:42","364-AL GOZE IND. FIRST ","28561"
"null","345-برج خليفة","543","2024-08-07 14:14:42","345-BURJ KHALIFA","20795"
"null","671-البرشاء جنوب الأولى","334","2024-08-07 14:14:42","671-AL BARSHA SOUTH FIRST","13717"
"null","213-ند شما","606","2024-08-07 14:14:42","213-NAD SHAMMA","3200"
"null","612-رأس الخور الصناعية الأولى","451","2024-08-07 14:14:42","612-RAS AL KHOR IND. FIRST","2550"
"null","262-المزهر الأولى","230","2024-08-07 14:14:42","262-AL MEZHAR FIRST","16552"
"null","226-الطوار الأولى","843","2024-08-07 14:14:42","226-AL TWAR FIRST","12114"
"null","518-جبل علي الصناعية الثانية","410","2024-08-07 14:14:42","518-JABAL ALI INDUSTRIAL SECOND","23000"
"null","362-ام سقيم الثانية","256","2024-08-07 14:14:42","362-UM SUQAIM SECOND","12325"
"null","975-العشوش","736","2024-08-07 14:14:42","975-AL OSHOOSH","3"
"null","648-وادي الصفا 5","679","2024-08-07 14:14:42","648-WADI AL SAFA 5","20479"
"null","335-المركز التجاري الأولى","354","2024-08-07 14:14:42","335-TRADE CENTER FIRST","16519"
"null","114-البطين","1113","2024-08-07 14:14:42","114-AL BUTEEN","3081"
"null","511-حصيان الاولى","406","2024-08-07 14:14:42","511-HESSYAN FIRST","3492"
"null","322-الحضيبة","287","2024-08-07 14:14:42","322-AL HUDAIBA","14191"
"null","357-الصفا الثانية","960","2024-08-07 14:14:42","357-AL SAFFA SECOND","7207"
"null","987-الليان 1","562","2024-08-07 14:14:42","987-AL LAYAN 1","0"
"null","672-البرشاء جنوب الثانية","335","2024-08-07 14:14:42","672-AL BARSHA SOUTH SECOND","7509"
"null","727-الوحوش","134","2024-08-07 14:14:42","727-AL WOHOOSH","46"
"null","622-ورسان الثانية","686","2024-08-07 14:14:42","622-WARSAN SECOND","1409"
"null","821-مرييل","110","2024-08-07 14:14:42","821-MEREIYEEL","1119"
"null","987-الليان 1","448","2024-08-07 14:14:42","987-AL LAYAN 1","10"
"null","684-البرشاء جنوب الخامسة","1051","2024-08-07 14:14:42","684-AL BARSHA SOUTH FIFTH","7997"
"null","826-الحميرا","23","2024-08-07 14:14:42","826-LE HEMAIRA","53"
"null","975-العشوش","934","2024-08-07 14:14:42","975-AL OSHOOSH","3"
"null","112-الرأس","48","2024-08-07 14:14:42","112-AL RASS","7314"
"null","413-رأس الخور","457","2024-08-07 14:14:42","413-RAS AL KHOR","2"
"null","621-ورسان الأولى","1030","2024-08-07 14:14:42","621-WARSAN FIRST","108637"
"null","824-أم الدمن","1062","2024-08-07 14:14:42","824-UMM AL DAMAN","301"
"null","267-محصينة الخامسة ","166","2024-08-07 14:14:42","267-MUHAISANAH FIFTH","2"
"null","129-بور سعيد","611","2024-08-07 14:14:42","129-PORT SAEED","13708"
"null","597-مجمع دبي للإستثمار الثاني","698","2024-08-07 14:14:42","597-DUBAI INVESTMENT PARK2","80118"
"null","422-الورقاء الثانية","399","2024-08-07 14:14:42","422-AL WARQAA  SECOND","10689"
"null","265-عود المطينة الأولى","168","2024-08-07 14:14:42","265-OUD AL MUTEEN FIRST","12510"
"null","324-الكفاف","874","2024-08-07 14:14:42","324-AL KIFAF","602"
"null","363-المنارة","771","2024-08-07 14:14:42","363-AL MANARA","8745"
"null","388-الثنيه الثالثة (تلال الامارات الثانية)","906","2024-08-07 14:14:42","388-AL THANYAH THIRD (EMIRATE HILLS SECOND)","22829"
"null","317-المنخول","496","2024-08-07 14:14:42","317-AL MANKHOOL","40520"
"null","394-الثنيه الرابعة (تلال الامارات الثالثة)","91","2024-08-07 14:14:42","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","23488"
"null","375-البرشاء الثالثة","814","2024-08-07 14:14:42","375-AL BARSHAA THIRD","15401"
"null","113-الضغاية","49","2024-08-07 14:14:42","113-AL DHAGAYA","15453"
"null","683-الحبيه الخامسة","127","2024-08-07 14:14:42","683-AL HEBIAH FIFTH","8919"
"null","826-الحميرا","596","2024-08-07 14:14:42","826-LE HEMAIRA","53"
"null","413-رأس الخور","1063","2024-08-07 14:14:42","413-RAS AL KHOR","2"
"null","271-وادي العمردي","305","2024-08-07 14:14:42","271-WADI ALAMRADI","3368"
"null","232-القصيص الأولى","244","2024-08-07 14:14:42","232-AL QUSAIS FIRST","45657"
"null","322-الحضيبة","556","2024-08-07 14:14:42","322-AL HUDAIBA","14372"
"null","683-الحبيه الخامسة","716","2024-08-07 14:14:42","683-AL HEBIAH FIFTH","10302"
"null","919-اليفره 4","750","2024-08-07 14:14:42","919-AL YUFRAH 4","3"
"null","631-حدائق الشيخ محمد بن راشد","462","2024-08-07 14:14:42","631-HADAEQ SHEIKH MOHAMMED BIN RASHID","1688"
"null","685-معيصم الأولى","1052","2024-08-07 14:14:42","685-MEAISEM FIRST","18664"
"null","593-جبل علي الثالثة","1017","2024-08-07 14:14:42","593-JABAL ALI THIRD","218"
"null","353-الصفا الأولى","81","2024-08-07 14:14:42","353-AL SAFFA FIRST","7893"
"null","232-القصيص الأولى","847","2024-08-07 14:14:42","232-AL QUSAIS FIRST","48378"
"null","594-ميناء جبل علي","216","2024-08-07 14:14:42","594-MENA JABAL ALI","28600"
"null","591-جبل علي الأولى","472","2024-08-07 14:14:42","591-JABAL ALI FIRST","76016"
"null","978-سيح شعيله","446","2024-08-07 14:14:42","978-SAIH SHUAALAH","3"
"null","316-الرفاعة","864","2024-08-07 14:14:42","316-AL RAFFA","48546"
"null","501-نخلة جبل علي","404","2024-08-07 14:14:42","501-NAKHLAT JABAL ALI","5"
"null","835-أم المؤمنين","274","2024-08-07 14:14:42","835-UMM AL MOMENEEN","309"
"null","128-الخبيصي","612","2024-08-07 14:14:42","128-AL KHBEESI","2016"
"null","415-الخيران الأولى","396","2024-08-07 14:14:42","415-AL KHAIRAN FIRST","587"
"null","132-الوحيدة","179","2024-08-07 14:14:42","132-AL WAHEDA","20392"
"null","302-شاطئ جميرا","300","2024-08-07 14:14:42","302-JUMEIRA BAY","39"
"null","347-المركاض","954","2024-08-07 14:14:42","347-AL MERKADH","3875"
"null","101-نخلة ديرة","776","2024-08-07 14:14:42","101-NAKHLAT DEIRA","2"
"null","413-رأس الخور","395","2024-08-07 14:14:42","413-RAS AL KHOR","2"
"null","502-الواجهة البحرية","793","2024-08-07 14:14:42","502-AL WAJEHAH AL BHARIYAH","4"
"null","115-السبخة","624","2024-08-07 14:14:42","115-AL SABKHA","4020"
"null","352-جميرا الثالثة","264","2024-08-07 14:14:42","352-JUMEIRA THIRD","13417"
"null","355-القوز الثانية","958","2024-08-07 14:14:42","355-AL GOZE SECOND","5655"
"null","315-ام هرير الثانية","863","2024-08-07 14:14:42","315-UM HURAIR SECOND","5633"
"null","394-الثنيه الرابعة (تلال الامارات الثالثة)","653","2024-08-07 14:14:42","394-AL THANYAH FOURTH (EMIRATE HILLS THIRD) ","28164"
"null","913-أم نهد الثالثة","95","2024-08-07 14:14:42","913-UMM NAHAD THIRD","2329"
"null","271-وادي العمردي","510","2024-08-07 14:14:42","271-WADI ALAMRADI","3451"
"null","345-برج خليفة","85","2024-08-07 14:14:42","345-BURJ KHALIFA","18698"
"null","355-القوز الثانية","79","2024-08-07 14:14:42","355-AL GOZE SECOND","4551"
"null","614-رأس الخور الصناعية الثالثة","692","2024-08-07 14:14:42","614-RAS AL KHOR IND. THIRD","22247"
"null","304-جزيرة جميرا 2","857","2024-08-07 14:14:42","304-JUMEIRA ISLAND 2","3"
"null","245-محيصنة الرابعة","226","2024-08-07 14:14:42","245-MUHAISANAH FOURTH","32346"
"null","133-هور العنز شرق","1130","2024-08-07 14:14:42","133-HOR AL ANZ EAST","22143"
"null","814-الرويه الثالثة","730","2024-08-07 14:14:42","814-AL ROWAIYAH THIRD","4897"
"null","423-الورقاء الثالثة","798","2024-08-07 14:14:42","423-AL WARQAA THIRD","15613"
"null","283-العياص","981","2024-08-07 14:14:42","283-AL AYAS","1858"
"null","251-مردف","1012","2024-08-07 14:14:42","251-MURDAF","68346"
"null","324-الكفاف","382","2024-08-07 14:14:42","324-AL KIFAF","2"
"null","991-حفير","924","2024-08-07 14:14:42","991-HEFAIR","12"
"null","393-الثنيه الخامسة (تلال الامارات الاولى)","90","2024-08-07 14:14:42","393-AL THANYAH FIFTH (EMIRATE HILLS FIRST) ","37067"
"null","951-سيح السلم","741","2024-08-07 14:14:42","951-SAIH AL SALAM","615"
"null","676-الحبيه الثالثة","662","2024-08-07 14:14:42","676-AL HEBIAH THIRD","6955"
"null","369-القوز الصناعية الرابعة ","67","2024-08-07 14:14:42","369-AL GOZE IND. FOURTH ","38280"
"null","358-القوز الثالثة","258","2024-08-07 14:14:42","358-AL GOZE THIRD","40553"
"null","682-الحبيه الرابعة","1049","2024-08-07 14:14:42","682-AL HEBIAH FOURTH","21842"
"null","303-جزر العالم","856","2024-08-07 14:14:42","303-WORLD ISLANDS","7"
"null","213-ند شما","866","2024-08-07 14:14:42","213-NAD SHAMMA","3305"
"null","421-الورقاء الأولى","3","2024-08-07 14:14:42","421-AL WARQAA FIRST","21696"
"null","724-نخلي","1056","2024-08-07 14:14:42","724-ENKHALI","2"
"null","425- الورقاء الخامسة ","1070","2024-08-07 14:14:42","425-AL WARQAA FIFTH ","0"
"null","533-سيح شعيب 4","19","2024-08-07 14:14:42","533-SAIH SHUAIB 4","11170"
"null","711-العوير الأولى","131","2024-08-07 14:14:42","711-AL AWEER ONE","3587"
"null","533-سيح شعيب 4","414","2024-08-07 14:14:42","533-SAIH SHUAIB 4","11170"
"null","247-القصيص الصناعية الرابعة","1010","2024-08-07 14:14:42","247-AL QUSAIS IND. FOURTH","2932"
"null","824-أم الدمن","597","2024-08-07 14:14:42","824-UMM AL DAMAN","287"
"null","125-رقة البطين","1123","2024-08-07 14:14:42","125-REGA AL BUTEEN","7687"
"null","821-مرييل","1061","2024-08-07 14:14:42","821-MEREIYEEL","425"
"null","333-البدع","378","2024-08-07 14:14:42","333-AL BADA","56734"
"null","342-جميرا الثانية","87","2024-08-07 14:14:42","342-JUMEIRA SECOND","9380"
"null","121-كورنيش ديرة","1119","2024-08-07 14:14:42","121-CORNICHE DEIRA","15"
"null","392-مرسى دبي (الميناء السياحي) ","387","2024-08-07 14:14:42","392-MARSA DUBAI (AL MINA AL SEYAHI) ","61047"
"null","383-الثنيه الأولى (قرية ربيع الصحراء)","810","2024-08-07 14:14:42","383-AL THANYAH FIRST (V. RABIE SAHRAA)","25778"
"null","412-الخيران","804","2024-08-07 14:14:42","412-AL KHEERAN","5270"
"null","672-البرشاء جنوب الثانية","119","2024-08-07 14:14:42","672-AL BARSHA SOUTH SECOND","7057"
"null","615-ند الشبا الثانية","1026","2024-08-07 14:14:42","615-NAD AL SHIBBA SECOND","2613"
"null","971-سيح الدحل","39","2024-08-07 14:14:42","971-SAIH AL DAHAL","16"
"null","304-جزيرة جميرا 2","977","2024-08-07 14:14:42","304-JUMEIRA ISLAND 2","3"
"null","813-الرويه الثانية","108","2024-08-07 14:14:42","813-AL ROWAIYAH SECOND","25"
"null","365-القوز الصناعية الثانية ","253","2024-08-07 14:14:42","365-AL GOZE IND. SECOND ","159978"
"null","313-الحمرية","974","2024-08-07 14:14:42","313-AL HAMRIYA","38611"
"null","312-السوق الكبير","155","2024-08-07 14:14:42","312-AL SUQ AL KABEER","46929"
"null","925-اليلايس 5","574","2024-08-07 14:14:42","925-AL YALAYIS 5","100"
"null","671-البرشاء جنوب الأولى","118","2024-08-07 14:14:42","671-AL BARSHA SOUTH FIRST","13267"
"null","912-أم نهد الثانية","424","2024-08-07 14:14:42","912-UMM NAHAD SECOND","2"
"null","384-الثنيه الثانية (مضمار جبل علي)","59","2024-08-07 14:14:42","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","115"
"null","116-عيال ناصر","52","2024-08-07 14:14:42","116-AYAL NASIR","18925"
"null","861-يراح","268","2024-08-07 14:14:42","861-YARAAH","94"
"null","232-القصيص الأولى","1001","2024-08-07 14:14:42","232-AL QUSAIS FIRST","49504"
"null","674-الحبيه الأولى","1044","2024-08-07 14:14:42","674-AL HEBIAH FIRST","11279"
"null","643-وادي الصفا 2","328","2024-08-07 14:14:42","643-WADI AL SAFA 2","10519"
"null","518-جبل علي الصناعية الثانية","1078","2024-08-07 14:14:42","518-JABAL ALI INDUSTRIAL SECOND","28152"
"null","264-محيصنة الثانية ","825","2024-08-07 14:14:42","264-MUHAISANAH SECOND ","148832"
"null","861-يراح","588","2024-08-07 14:14:42","861-YARAAH","95"
"null","924-اليلايس 4","105","2024-08-07 14:14:42","924-AL YALAYIS 4","8"
"null","961-الصلال","568","2024-08-07 14:14:42","961-AL SELAL","666"
"null","337-زعبيل الثانية","88","2024-08-07 14:14:42","337-ZAABEEL SECOND","7509"
"null","124-المرقبات","1122","2024-08-07 14:14:42","124-AL MURQABAT","73879"
"null","412-الخيران","92","2024-08-07 14:14:42","412-AL KHEERAN","4641"
"null","841-مرغم","273","2024-08-07 14:14:42","841-MARGHAM","1005"
"null","133-هور العنز شرق","361","2024-08-07 14:14:42","133-HOR AL ANZ EAST","21218"
"null","612-رأس الخور الصناعية الأولى","694","2024-08-07 14:14:42","612-RAS AL KHOR IND. FIRST","2160"
"null","648-وادي الصفا 5","331","2024-08-07 14:14:42","648-WADI AL SAFA 5","21241"
"null","421-الورقاء الأولى","398","2024-08-07 14:14:42","421-AL WARQAA FIRST","24679"
"null","616-ند الشبا الثالثة","690","2024-08-07 14:14:42","616-NAD AL SHIBBA THIRD","1137"
"null","831-لهباب الثانية","767","2024-08-07 14:14:42","831-LEHBAB SECOND","1601"
"null","914-أم نهد الرابعة","755","2024-08-07 14:14:42","914-UMM NAHAD FOURTH","4"
"null","111-الكورنيش","393","2024-08-07 14:14:42","111-AL CORNICHE","1735"
"null","851-رماح","762","2024-08-07 14:14:42","851-REMAH","195"
"null","357-الصفا الثانية","77","2024-08-07 14:14:42","357-AL SAFFA SECOND","6247"
"null","335-المركز التجاري الأولى","138","2024-08-07 14:14:42","335-TRADE CENTER FIRST","15355"
"null","133-هور العنز شرق","608","2024-08-07 14:14:42","133-HOR AL ANZ EAST","21430"
"null","332-جميرا الأولى","551","2024-08-07 14:14:42","332-JUMEIRA FIRST","20715"
"null","356-ام سقيم الأولى","959","2024-08-07 14:14:42","356-UM SUQAIM FIRST","12720"
"null","248-القصيص الصناعية الخامسة","223","2024-08-07 14:14:42","248-AL QUSAIS IND FIFTH","1286"
"null","967-غدير براشي","738","2024-08-07 14:14:42","967-GHADEER BARASHY","33"
"null","591-جبل علي الأولى","20","2024-08-07 14:14:42","591-JABAL ALI FIRST","69115"
"null","847-أم السلي","271","2024-08-07 14:14:42","847-UMM ESELAY","204"
"null","242-القصيص الصناعية الأولى","527","2024-08-07 14:14:42","242-AL QUSAIS IND. FIRST","9511"
"null","611-بو كدرة","695","2024-08-07 14:14:42","611-BU KADRA","112"
"null","711-العوير الأولى","347","2024-08-07 14:14:42","711-AL AWEER ONE","4107"
"null","811-ورسان الثالثة","921","2024-08-07 14:14:42","811-WARSAN THIRD","12638"
"null","356-ام سقيم الأولى","630","2024-08-07 14:14:42","356-UM SUQAIM FIRST","11947"
"null","835-أم المؤمنين","766","2024-08-07 14:14:42","835-UMM AL MOMENEEN","169"
"null","345-برج خليفة","896","2024-08-07 14:14:42","345-BURJ KHALIFA","21862"
"null","613-رأس الخور الصناعية الثانية","481","2024-08-07 14:14:42","613-RAS AL KHOR IND. SECOND","2529"
"null","918-اليفره 3","430","2024-08-07 14:14:42","918-AL YUFRAH 3","4"
"null","264-محيصنة الثانية ","228","2024-08-07 14:14:42","264-MUHAISANAH SECOND ","196316"
"null","425- الورقاء الخامسة ","7","2024-08-07 14:14:42","425-AL WARQAA FIFTH ","60"
"null","645-وادي الصفا 3","329","2024-08-07 14:14:42","645-WADI AL SAFA 3","9764"
"null","303-جزر العالم","978","2024-08-07 14:14:42","303-WORLD ISLANDS","7"
"null","675-الحبيه الثانية","122","2024-08-07 14:14:42","675-AL HEBIAH SECOND","1032"
"null","232-القصيص الأولى","191","2024-08-07 14:14:42","232-AL QUSAIS FIRST","41818"
"null","227-الطوار الثانية","575","2024-08-07 14:14:42","227-AL TWAR SECOND","4909"
"null","228-الطوار الثالثة","576","2024-08-07 14:14:42","228-AL TWAR THIRD","10837"
"null","643-وادي الصفا 2","1035","2024-08-07 14:14:42","643-WADI AL SAFA 2","11010"
"null","961-الصلال","739","2024-08-07 14:14:42","961-AL SELAL","684"
"null","313-الحمرية","500","2024-08-07 14:14:42","313-AL HAMRIYA","37012"
"null","622-ورسان الثانية","324","2024-08-07 14:14:42","622-WARSAN SECOND","1568"
"null","132-الوحيدة","609","2024-08-07 14:14:42","132-AL WAHEDA","21018"
"null","117-المرر","375","2024-08-07 14:14:42","117-AL MURAR","38970"
"null","282-الخوانيج الثانية","162","2024-08-07 14:14:42","282-AL KHAWANEEJ TWO","3865"
"null","234-القصيص الثالثة","580","2024-08-07 14:14:42","234-AL QUSAIS THIRD","7263"
"null","594-ميناء جبل علي","418","2024-08-07 14:14:42","594-MENA JABAL ALI","24487"
"null","112-الرأس","1111","2024-08-07 14:14:42","112-AL RASS","8143"
"null","261-محيصنة الأولى","220","2024-08-07 14:14:42","261-MUHAISANAH FIRST","7375"
"null","319-عود ميثاء","869","2024-08-07 14:14:42","319-OUD METHA","15568"
"null","502-الواجهة البحرية","1073","2024-08-07 14:14:42","502-AL WAJEHAH AL BHARIYAH","4"
"null","611-بو كدرة","1022","2024-08-07 14:14:42","611-BU KADRA","113"
"null","213-ند شما","359","2024-08-07 14:14:42","213-NAD SHAMMA","3124"
"null","513-سيح شعيب 1","465","2024-08-07 14:14:42","513-SAIH SHUAIB 1","15"
"null","917-المرموم","752","2024-08-07 14:14:42","917-AL MARMOOM","141"
"null","323-الجافلية","145","2024-08-07 14:14:42","323-AL JAFLIYA","21957"
"null","423-الورقاء الثالثة","1068","2024-08-07 14:14:42","423-AL WARQAA THIRD","15901"
"null","592-جبل علي الثانية","473","2024-08-07 14:14:42","592-JABAL ALI  SECOND","1573"
"null","731-لهباب الأولى","1058","2024-08-07 14:14:42","731-LEHBAB FIRST","3425"
"null","512-حصيان الثانية","532","2024-08-07 14:14:42","512-HESSYAN SECOND","10398"
"null","532-سيح شعيب 3","18","2024-08-07 14:14:42","532-SAIH SHUAIB 3","11144"
"null","967-غدير براشي","443","2024-08-07 14:14:42","967-GHADEER BARASHY","7"
"null","352-جميرا الثالثة","955","2024-08-07 14:14:42","352-JUMEIRA THIRD","14476"
"null","352-جميرا الثالثة","891","2024-08-07 14:14:42","352-JUMEIRA THIRD","14188"
"null","612-رأس الخور الصناعية الأولى","480","2024-08-07 14:14:42","612-RAS AL KHOR IND. FIRST","2564"
"null","521-مدينة المطار","787","2024-08-07 14:14:42","521-MADINAT AL MATAAR","4150"
"null","215-ام رمول","604","2024-08-07 14:14:42","215-UM RAMOOL","2958"
"null","422-الورقاء الثانية","1067","2024-08-07 14:14:42","422-AL WARQAA  SECOND","11530"
"null","597-مجمع دبي للإستثمار الثاني","419","2024-08-07 14:14:42","597-DUBAI INVESTMENT PARK2","60630"
"null","532-سيح شعيب 3","470","2024-08-07 14:14:42","532-SAIH SHUAIB 3","8200"
"null","262-المزهر الأولى","517","2024-08-07 14:14:42","262-AL MEZHAR FIRST","16968"
"null","358-القوز الثالثة","76","2024-08-07 14:14:42","358-AL GOZE THIRD","40541"
"null","671-البرشاء جنوب الأولى","657","2024-08-07 14:14:42","671-AL BARSHA SOUTH FIRST","14069"
"null","352-جميرا الثالثة","540","2024-08-07 14:14:42","352-JUMEIRA THIRD","13690"
"null","624-ورسان الرابعة","464","2024-08-07 14:14:42","624-WARSAN FOURTH","8763"
"null","233-القصيص الثانية","1002","2024-08-07 14:14:42","233-AL QUSAIS SECOND","13137"
"null","384-الثنيه الثانية (مضمار جبل علي)","649","2024-08-07 14:14:42","384-AL THANYAH SECOND (JEBEL ALI HORSE RACING)","115"
"null","599-جبل علي الصناعية الأولى","696","2024-08-07 14:14:42","599-JABAL ALI INDUSTRIAL FIRST","198228"
"null","813-الرويه الثانية","280","2024-08-07 14:14:42","813-AL ROWAIYAH SECOND","25"
"null","925-اليلايس 5","1107","2024-08-07 14:14:42","925-AL YALAYIS 5","85"
"null","598-مجمع دبي للإستثمارالاول","697","2024-08-07 14:14:42","598-DUBAI INVESTMENT PARK1","63094"
"null","113-الضغاية","1112","2024-08-07 14:14:42","113-AL DHAGAYA","16873"
"null","987-الليان 1","733","2024-08-07 14:14:42","987-AL LAYAN 1","0"
"null","322-الحضيبة","146","2024-08-07 14:14:42","322-AL HUDAIBA","13034"
"null","826-الحميرا","276","2024-08-07 14:14:42","826-LE HEMAIRA","53"
"null","913-أم نهد الثالثة","756","2024-08-07 14:14:42","913-UMM NAHAD THIRD","3623"
"null","847-أم السلي","763","2024-08-07 14:14:42","847-UMM ESELAY","216"
"null","284-الطي","506","2024-08-07 14:14:42","284-AL TTAY","810"
"null","891-حتا","422","2024-08-07 14:14:42","891-HATTA","14045"
"null","373-البرشاء الأولى","643","2024-08-07 14:14:42","373-AL BARSHAA FIRST","40202"
"null","251-مردف","222","2024-08-07 14:14:42","251-MURDAF","60288"
"null","911-أم نهد الأولى","758","2024-08-07 14:14:42","911-UMM NAHAD FIRST","8"
"null","919-اليفره 4","431","2024-08-07 14:14:42","919-AL YUFRAH 4","3"
"null","931-الليسيلي","573","2024-08-07 14:14:42","931-AL LESAILY","2906"
"null","978-سيح شعيله","41","2024-08-07 14:14:42","978-SAIH SHUAALAH","3"
"null","215-ام رمول","848","2024-08-07 14:14:42","215-UM RAMOOL","3069"
"null","114-البطين","50","2024-08-07 14:14:42","114-AL BUTEEN","2766"
"null","591-جبل علي الأولى","415","2024-08-07 14:14:42","591-JABAL ALI FIRST","75287"
"null","724-نخلي","133","2024-08-07 14:14:42","724-ENKHALI","26"
"null","314-ام هرير الأولى","862","2024-08-07 14:14:42","314-UM HURAIR FIRST","6482"
